time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443150000	0.0364309	2.65975	0	0	0	radar	2.29447e-314	0.0364309	2.65975	-0.0024	2.85	-0.0314	0.9995
1477010443950000	-0.289631	3.27962	-0.181685	-3.1542e-17	-1.09931e-17	radar	1.33398	-0.382132	3.60852	-0.1334	3.637	-0.279	0.9603
1477010444750000	-0.410341	3.59567	-0.151238	-0.790011	-0.862141	radar	6.5843	-0.36942	4.04818	-0.456	4.3668	-0.509	0.8607
1477010445550000	-0.731218	4.65705	-1.08014	-2.19075	-1.53809	radar	10.0395	-0.773957	5.27422	-0.95	4.9934	-0.7071	0.7071
1477010446350000	-1.40348	5.37528	-1.1934	-1.813	-0.750578	radar	4.16823	-1.77773	5.50792	-1.5843	5.4775	-0.8607	0.509
1477010447150000	-2.2591	5.37138	-0.151494	-0.901737	0.253986	radar	3.67522	-2.14259	5.17845	-2.319	5.7886	-0.9603	0.279
1477010447950000	-2.82748	5.82181	-0.871683	-0.303113	0.449629	radar	4.98838	-3.13248	5.90113	-3.108	5.9073	-0.9995	0.0314
1477010448750000	-3.98434	5.75904	-1.61289	0.467428	0.697975	radar	3.11748	-4.07716	5.63794	-3.9018	5.8259	-0.9759	-0.2181
1477010449550000	-4.12713	5.294	-0.799145	0.922231	0.267917	radar	1.5642	-4.01386	5.18781	-4.6504	5.5498	-0.891	-0.454
1477010450350000	-4.96272	5.01078	-1.02562	0.243351	-0.30116	radar	2.00867	-5.15925	5.12116	-5.3068	5.0961	-0.7501	-0.6613
1477010451150000	-5.66232	4.55829	-1.0187	1.1129	0.676813	radar	2.2954	-5.83279	4.57182	-5.8297	4.4935	-0.5621	-0.8271
1477010451950000	-6.14802	3.91559	-1.40732	0.744506	-0.00666788	radar	1.11042	-6.2608	3.84019	-6.1864	3.7797	-0.3388	-0.9409
1477010452750000	-6.53774	3.11724	-1.4172	1.37737	0.637247	radar	0.551182	-6.61026	3.12566	-6.3543	2.9997	-0.0941	-0.9956
1477010453550000	-6.35274	2.01763	-1.41119	1.69073	0.222824	radar	0.674037	-6.27165	1.94962	-6.323	2.2024	0.1564	-0.9877
1477010454350000	-6.33515	1.74857	-0.513803	2.01874	0.505704	radar	2.23266	-6.47018	1.91243	-6.0944	1.4379	0.3971	-0.9178
1477010455150000	-6.06773	1.03048	-1.09406	2.24877	0.380959	radar	0.487676	-6.04402	0.990225	-5.6828	0.7543	0.6129	-0.7902
1477010455950000	-5.18166	0.392025	-1.83192	3.25008	0.95734	radar	2.87699	-5.10914	0.253072	-5.1142	0.1946	0.7901	-0.6129
1477010456750000	-4.1975	-1.63339	-2.31345	1.8433	-0.34253	radar	1.47228	-4.38868	-0.122883	-4.4242	-0.2062	0.9177	-0.3972
1477010457550000	-3.91646	-0.583562	-1.23816	1.59874	-1.08946	radar	3.2279	-3.55293	-0.535129	-3.6563	-0.4228	0.9877	-0.1565
1477010458350000	-3.30515	-0.197128	0.187234	0.869528	-1.532	radar	10.265	-2.72871	-0.404294	-2.8586	-0.4416	0.9956	0.0941
1477010459150000	-2.29178	0.306496	1.8726	-0.930048	-2.03983	radar	8.44212	-1.84959	-0.252151	-2.0813	-0.2614	0.9409	0.3387
1477010459950000	-1.36196	0.447107	1.49056	-0.971782	-1.13888	radar	2.23126	-1.57647	0.157366	-1.3732	0.1064	0.8271	0.5621
1477010460750000	-0.572675	-0.00690716	0.828534	-0.723871	-1.43038	radar	-1.69513	-0.780093	0.673492	-0.7789	0.6388	0.6613	0.7501
1477010461550000	-0.021033	0.12541	1.37523	-1.27743	-0.971855	radar	0.0139521	-0.347382	1.27699	-0.3356	1.3022	0.454	0.891
1477010462350000	0.083112	0.435563	1.62807	-1.63146	-0.64127	radar	1.43931	-0.0180573	1.73561	-0.0712	2.055	0.2182	0.9759
1477010463150000	1.11938	2.68014	2.36516	-2.78224	-1.39854	radar	0.111172	-0.087238	2.69129	-0.0008	2.85	0	1
1477010463950000	0.413566	3.12301	1.98704	-3.63941	-1.29057	radar	-1.49348	-0.0657929	3.78003	0.1054	3.6408	0.2487	0.9686
1477010464750000	0.982654	3.67321	3.19454	-6.16781	-2.77759	radar	1.1328	0.479077	4.13675	0.405	4.3803	0.4818	0.8763
1477010465550000	0.997187	4.83948	2.46915	-7.86773	-1.28161	radar	0.421351	0.863581	5.1577	0.879	5.0222	0.6846	0.7289
1477010466350000	1.35606	5.30447	0.96536	-9.84182	-4.24031	radar	0.409785	1.57385	5.19629	1.4978	5.5259	0.8443	0.5358
1477010467150000	1.93002	5.33217	-1.32377	-15.4061	-0.516447	radar	7.1388	2.25234	5.80539	2.2224	5.86	0.9511	0.309
1477010467950000	-4.03701	-9.37144	-17.4332	4.50096	-243.605	radar	156.477	3.03247	5.76984	3.0073	6.0033	0.998	0.0628
1477010468750000	9.54761	-16.4231	-38.5078	-195.382
